Legajo,Date,Cantidad Llamadas,Tiempo InCall (min),Tiempo en espera (min),Cantidad Llamadas Transferidas,Tiempo Loggeado (min),Tiempo Ready for Call (min),Tiempo en after call work (min)
1,04/11/2010,20,200,10,4,320,50,60
2,04/11/2010,25,235,7,3,360,47,71
3,04/11/2010,70,260,4,2,353,22,67
4,04/11/2010,52,284,6,0,375,35,50
5,04/11/2010,52,254,8,1,310,18,30
7,04/11/2010,73,200,22,3,355,60,70
8,04/11/2010,50,210,8,1,328,40,70
9,04/11/2010,56,284,5,3,369,24,56
10,04/11/2010,49,288,4,3,348,21,35
11,04/11/2010,59,244,6,0,328,28,50
